date,sleepStart,sleepFinish,timeInBedHour,timeInBedMinute,awakeDuration,totalNonRemSleepDuration,totalRemSleepDuration,totalSleepDuration,sleepQuality,sleepQualityNum,sleepQualityScore,nonRem1,rem1,cycle1,nonRem2,rem2,cycle2,nonRem3,rem3,cycle3,nonRem4,rem4,cycle4,nonRem5,rem5,cycle5,nonRem6,rem6,cycle6,nonRem7,rem7,cycle7,nonRem8,rem8,cycle8,nonRem9,rem9,cycle9,nonRem10,rem10,cycle10
20-10-2022,00:10:00,06:55:00,06:45:00,405,12,343,50,393,MEDIUM,1,76,197,9,206,13,5,18,24,5,29,49,7,56,5,11,16,15,8,23,17,5,22,23,0,23,0,0,0,0,0,0
21-10-2022,23:09:00,07:04:00,07:55:00,475,13,368,94,462,GOOD,2,84,163,5,168,4,13,17,4,8,12,58,7,65,34,34,68,17,8,25,24,6,30,47,13,60,17,0,17,0,0,0
22-10-2022,22:24:00,07:37:00,09:13:00,553,23,406,124,530,MEDUIM,1,79,16,5,21,81,9,90,13,12,25,79,16,95,17,16,33,40,9,49,26,36,62,44,21,65,90,0,90,0,0,0
23-10-2022,00:06:00,06:22:00,06:16:00,376,0,266,110,376,GOOD,2,84,15,4,19,52,6,58,9,11,20,7,4,11,8,6,14,72,14,86,18,9,27,32,17,49,34,29,63,19,10,29
24-10-2022,22:58:00,06:41:00,07:43:00,463,0,363,100,463,GOOD,2,89,79,8,87,66,18,84,4,8,12,23,11,34,51,17,68,49,10,59,58,6,64,23,11,34,5,11,16,5,0,5
25-10-2022,22:05:00,06:32:00,08:27:00,507,11,440,56,496,MEDIUM,1,68,74,15,89,26,7,33,53,10,63,22,4,26,83,7,90,102,7,109,56,6,62,24,0,24,0,0,0,0,0,0
26-10-2022,00:02:00,07:02:00,07:00:00,420,0,381,39,420,MEDIUM,1,73,103,5,108,15,4,19,8,6,14,15,7,22,25,6,31,15,6,21,142,5,147,58,0,58,0,0,0,0,0,0
27-10-2022,22:49:00,05:55:00,07:06:00,426,0,332,94,426,GOOD,2,86,37,3,40,51,5,56,16,11,27,21,6,27,33,6,39,71,30,101,47,17,64,16,6,22,26,5,31,14,5,19
28-10-2022,22:30:00,06:05:00,07:35:00,455,0,413,42,455,GOOD,2,87,180,15,195,68,9,77,49,14,63,92,4,96,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-10-2022,23:31:00,08:03:00,08:32:00,512,9,418,85,503,MEDIUM,1,77,31,6,37,35,5,40,20,17,37,91,21,112,66,19,85,14,7,21,113,10,123,48,0,48,0,0,0,0,0,0
30-10-2022,23:36:00,05:55:00,06:19:00,379,0,351,28,379,MEDIUM,1,74,31,5,36,191,12,203,15,6,21,74,5,79,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-10-2022,22:45:00,06:12:00,07:27:00,447,11,379,57,436,GOOD,2,85,91,9,100,9,5,14,73,6,79,34,11,45,25,7,32,16,5,21,48,14,62,83,0,83,0,0,0,0,0,0
01-11-2022,23:18:00,08:30:00,09:12:00,552,24,441,87,528,MEDIUM,1,73,150,5,155,6,14,20,81,5,86,28,5,33,4,18,22,8,26,34,15,4,19,7,5,12,105,5,110,37,0,37
02-11-2022,00:08:00,07:09:00,07:01:00,421,19,333,69,402,MEDIUM,1,70,16,4,20,14,5,19,37,9,46,7,7,14,9,5,14,128,11,139,32,9,41,11,12,23,17,7,24,62,0,62
03-11-2022,22:58:00,06:46:00,07:48:00,468,15,410,43,453,MEDIUM,1,76,68,5,73,65,16,81,11,6,17,20,5,25,203,5,208,24,6,30,19,0,19,0,0,0,0,0,0,0,0,0
04-11-2022,22:49:00,07:05:00,08:16:00,496,10,442,44,486,GOOD,2,83,71,6,77,106,5,111,13,8,21,76,9,85,16,10,26,114,6,120,46,0,46,0,0,0,0,0,0,0,0,0
05-11-2022,23:18:00,05:05:00,05:47:00,347,0,291,56,347,GOOD,2,80,173,5,178,64,12,76,13,10,23,27,5,32,4,24,28,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
06-11-2022,00:15:00,07:50:00,07:35:00,455,0,382,73,455,GOOD,2,83,95,9,104,3,5,8,40,9,49,49,5,54,6,10,16,77,6,83,18,5,23,9,12,21,38,12,50,47,0,47
07-11-2022,23:41:00,07:06:00,07:25:00,445,23,365,57,422,GOOD,2,84,16,5,21,10,6,16,5,5,10,115,7,122,31,6,37,33,5,38,15,12,27,53,6,59,33,5,38,54,0,54
08-11-2022,23:41:00,07:19:00,07:38:00,458,9,392,57,449,GOOD,2,86,86,5,91,118,7,125,75,5,80,21,6,27,4,15,19,29,7,36,4,6,10,42,6,48,13,0,13,0,0,0
09-11-2022,00:17:00,07:21:00,07:04:00,424,10,371,43,414,MEDIUM,1,78,84,6,90,36,5,41,78,13,91,145,11,156,22,8,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
10-11-2022,00:04:00,06:58:00,06:54:00,414,0,365,49,414,MEDIUM,1,72,62,7,69,77,7,84,18,24,42,40,6,46,137,5,142,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0
11-11-2022,03:16:00,08:01:00,04:45:00,285,12,215,58,273,MEDIUM,1,66,11,7,18,13,8,21,1,12,13,2,7,9,2,9,11,163,15,178,23,0,23,0,0,0,0,0,0,0,0,0
12-11-2022,22:26:00,10:09:00,11:43:00,703,14,628,61,689,MEDIUM,1,74,85,5,90,15,7,22,152,4,156,31,7,38,109,6,115,119,9,128,51,5,56,4,5,9,6,13,19,56,0,56
13-11-2022,01:10:00,08:11:00,07:01:00,421,10,337,74,411,GOOD,2,82,93,13,106,45,6,51,8,5,13,23,6,29,5,10,15,40,8,48,42,8,50,6,6,12,29,12,41,46,0,46
14-11-2022,20:30:00,03:26:00,06:56:00,416,0,339,77,416,GOOD,2,84,79,16,95,24,5,29,58,10,68,5,17,22,54,13,67,44,4,48,35,5,40,11,7,18,29,0,29,0,0,0
15-11-2022,23:33:00,07:10:00,07:37:00,457,11,350,96,446,GOOD,2,88,65,5,70,10,5,15,100,16,116,36,5,41,8,6,14,6,16,22,24,6,30,50,5,55,23,32,55,28,0,28
16-11-2022,19:22:00,05:15:00,09:53:00,593,25,449,119,568,MEDIUM,1,71,34,7,41,51,14,65,28,5,33,69,24,93,28,6,34,55,11,66,91,14,105,23,7,30,42,20,62,28,11,39
17-11-2022,23:53:00,05:13:00,05:20:00,320,1,296,23,319,MEDIUM,1,73,37,11,48,6,7,13,209,5,214,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-11-2022,22:38:00,06:48:00,08:10:00,490,9,404,77,481,MEDIUM,1,76,160,7,167,11,22,33,9,5,14,99,13,112,7,7,14,10,15,25,65,8,73,43,0,43,0,0,0,0,0,0
19-11-2022,00:45:00,06:14:00,05:29:00,329,0,268,61,329,MEDIUM,1,74,26,8,34,39,14,53,67,13,80,51,12,63,19,7,26,18,7,25,48,0,48,0,0,0,0,0,0,0,0,0
20-11-2022,22:34:00,09:23:00,10:49:00,649,33,538,78,616,MEDIUM,1,79,54,6,60,83,11,94,79,10,89,11,5,16,48,5,53,12,15,27,92,5,97,56,16,72,42,5,47,61,0,61
21-11-2022,23:59:00,07:00:00,07:01:00,421,0,371,50,421,GOOD,2,85,90,4,94,57,9,66,15,8,23,84,16,100,13,5,18,88,8,96,24,0,24,0,0,0,0,0,0,0,0,0
22-11-2022,23:42:00,07:11:00,07:29:00,449,11,369,69,438,GOOD,2,80,80,2,82,17,7,24,14,4,18,30,9,39,67,18,85,106,15,121,27,9,36,14,5,19,14,0,14,0,0,0
23-11-2022,23:52:00,07:04:00,07:12:00,432,3,310,119,429,GOOD,2,84,47,4,51,94,7,101,15,13,28,4,5,9,4,11,15,51,12,63,25,67,92,70,0,70,0,0,0,0,0,0
24-11-2022,22:39:00,07:23:00,08:44:00,524,27,425,72,497,MEDIUM,1,76,120,5,125,12,14,26,78,24,102,64,7,71,14,5,19,52,6,58,19,5,24,42,6,48,24,0,24,0,0,0
25-11-2022,00:24:00,07:24:00,07:00:00,420,29,304,87,391,GOOD,2,82,67,11,78,13,16,29,18,5,23,14,7,21,12,9,21,31,9,40,45,6,51,11,19,30,88,5,93,5,0,5
26-11-2022,00:19:00,08:17:00,07:58:00,478,14,380,84,464,MEDIUM,1,79,74,7,81,15,6,21,74,8,82,38,6,44,38,7,45,20,10,30,2,22,24,91,13,104,23,5,28,5,0,5
27-11-2022,23:48:00,08:11:00,08:23:00,503,0,438,65,503,MEDIUM,1,74,56,5,61,122,7,129,4,6,10,4,8,12,87,5,92,9,7,16,22,6,28,65,11,76,9,10,19,60,0,60
28-11-2022,22:53:00,07:23:00,08:30:00,510,18,404,88,492,GOOD,2,85,63,12,75,77,5,82,124,10,134,11,17,28,8,9,17,39,7,46,35,12,47,4,8,12,9,8,17,34,0,34
29-11-2022,02:59:00,08:06:00,05:07:00,307,14,233,60,293,MEDIUM,1,76,14,25,39,13,6,19,63,7,70,12,5,17,77,7,84,6,5,11,3,5,8,45,0,45,0,0,0,0,0,0
01-12-2022,23:46:00,06:38:00,06:52:00,412,0,335,77,412,GOOD,2,84,76,10,86,7,4,11,33,6,39,21,7,28,12,18,30,6,17,23,64,9,73,104,6,110,12,0,12,0,0,0
02-12-2022,23:44:00,06:48:00,07:04:00,424,1,346,77,423,GOOD,2,84,67,9,76,54,5,59,32,6,38,10,13,23,5,12,17,72,6,78,7,13,20,10,8,18,68,5,73,21,0,21
03-12-2022,23:02:00,07:52:00,08:50:00,530,0,477,53,530,GOOD,2,94,87,22,109,31,3,34,200,4,204,44,4,48,9,7,16,15,7,22,2,6,8,89,0,89,0,0,0,0,0,0
04-12-2022,00:07:00,08:46:00,08:39:00,519,41,341,137,478,MEDIUM,1,68,41,3,44,44,35,79,34,11,45,3,5,8,21,34,55,56,4,60,28,20,48,60,18,78,54,7,61,0,0,0
05-12-2022,00:33:00,06:47:00,06:14:00,374,12,301,61,362,GOOD,2,80,53,4,57,17,5,22,13,4,17,75,4,79,92,5,97,18,14,32,2,10,12,2,9,11,6,6,12,23,0,23
06-12-2022,23:57:00,07:38:00,07:41:00,461,8,407,46,453,GOOD,2,81,18,5,23,46,6,52,96,4,100,42,4,46,3,13,16,125,5,130,16,4,20,53,5,58,8,0,8,0,0,0
07-12-2022,00:03:00,06:31:00,06:28:00,388,0,335,53,388,GOOD,2,80,38,5,43,65,4,69,77,5,82,9,5,14,99,4,103,5,11,16,17,5,22,2,10,12,10,4,14,13,0,13
09-12-2022,22:50:00,06:57:00,08:07:00,487,0,423,64,487,GOOD,2,96,67,11,78,142,20,162,76,6,82,6,3,9,37,9,46,5,7,12,2,4,6,52,4,56,36,0,36,0,0,0
10-12-2022,00:58:00,08:28:00,07:30:00,493,20,419,54,473,MEDIUM,1,75,217,13,230,83,24,107,3,4,7,74,6,80,27,7,34,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
11-12-2022,01:04:00,08:44:00,07:40:00,460,10,346,104,450,GOOD,2,81,39,6,45,4,4,8,117,3,120,56,4,60,17,5,22,21,20,41,23,7,30,27,47,74,29,3,32,13,5,18
12-12-2022,00:06:00,06:05:00,05:59:00,359,0,296,63,359,GOOD,2,92,34,3,37,27,9,36,12,4,16,3,7,10,91,4,95,7,8,15,18,4,22,66,4,70,31,15,46,7,5,12
13-12-2022,23:59:00,06:35:00,06:36:00,396,0,318,78,396,GOOD,2,84,67,12,79,92,7,99,6,8,14,25,5,30,4,8,12,34,6,40,3,4,7,26,19,45,33,4,37,28,5,33
14-12-2022,00:19:00,08:01:00,07:42:00,462,33,366,63,429,MEDIUM,1,78,70,4,74,11,5,16,6,10,16,60,5,65,92,13,105,6,3,9,14,4,18,20,8,28,10,11,21,77,0,77
15-12-2022,23:55:00,06:04:00,06:09:00,369,0,250,119,369,GOOD,2,83,13,11,24,10,5,15,7,3,10,14,28,42,69,21,90,3,20,23,12,9,21,89,22,111,33,0,33,0,0,0
16-12-2022,23:55:00,06:05:00,06:10:00,370,0,267,103,370,MEDIUM,1,74,43,4,47,6,4,10,34,11,45,15,14,29,9,15,24,10,16,26,4,8,12,50,19,69,76,12,88,20,0,20
17-12-2022,00:39:00,07:14:00,06:35:00,395,0,296,99,395,GOOD,2,84,39,6,45,42,24,66,30,4,34,18,8,26,2,29,31,42,3,45,29,6,35,4,12,16,16,7,23,74,0,74
18-12-2022,00:20:00,07:11:00,06:51:00,411,0,320,91,411,GOOD,2,86,67,7,74,39,9,48,15,48,63,18,10,28,44,5,49,75,5,80,12,4,16,29,3,32,21,0,21,0,0,0
20-12-2022,22:17:00,05:09:00,06:54:00,414,18,315,81,396,GOOD,2,86,80,4,84,28,13,41,5,15,20,52,17,69,17,4,21,5,4,9,76,9,85,7,7,14,20,8,28,25,0,25
22-12-2022,00:31:00,07:10:00,06:39:00,399,10,335,54,389,GOOD,2,84,196,3,199,19,6,25,44,4,48,16,21,37,10,6,16,37,5,42,2,4,6,4,5,9,7,0,7,0,0,0
23-12-2022,00:11:00,07:19:00,07:08:00,428,0,353,75,428,GOOD,2,91,135,5,140,27,19,46,13,10,23,70,8,78,23,6,29,9,14,23,2,7,9,68,6,74,6,0,6,0,0,0
25-12-2022,00:43:00,06:48:00,06:05:00,365,0,275,90,365,GOOD,2,86,49,6,55,19,6,25,66,20,86,21,5,26,3,5,8,15,4,19,59,27,86,22,8,30,4,6,10,17,3,20